"Year","GSR","RF"
1992,15.118,2.91777777777778
1993,12.9218258426966,4.74466292134831
1994,12.4279250720461,4.67608069164265
1995,12.6479831932773,6.49747899159664
1996,13.1159195402299,5.63218390804598
1997,11.8379261363636,8.54545454545454
1998,12.3630571428571,5.81285714285714
1999,13.0871830985915,5.21971830985915
2000,13.3216713091922,6.32590529247911
2001,12.618418079096,7.81920903954802
2002,12.7940934065934,6.70054945054945
2003,13.5626210826211,5.21794871794872
2004,13.4002486187845,4.56491712707182
2005,12.1306336088154,8.89669421487603
2006,13.1215833333333,6.74722222222222
2007,14.0752747252747,4.3489010989011
2008,13.613453038674,8.16298342541436
2009,14.101404494382,5.96629213483146
2010,13.2091758241758,6.33928571428571
2011,14.6186033519553,4.04748603351955
2012,12.7019008264463,4.97520661157025
2013,13.3826685393258,6.37780898876404
2014,13.9950274725275,7.16703296703297
2015,13.8022375690608,5.41795580110497
2016,12.8533802816901,8.65830985915493
2017,14.229,7.82371428571429
2018,14.2493112947658,6.36005509641873
2019,14.0263636363636,6.73856749311295
2020,14.8930662983425,5.96740331491713
2021,15.4129805013928,5.77214484679666
2022,14.8287087912088,5.91923076923077
2023,14.074,7.35055555555556
2024,13.6627945205479,6.19150684931507
2025,15.2412552301255,8.11589958158996
